"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"			
//Раздел I								
П4010_1	П4010_1		Е					
П4020_1	П4020_1		Е		3			
П4030_1	П4030_1		Е		3			
П4040_1	П4040_1		Е		3			
П4050_1	П4050_1		Е		3			
П4060_1	П4060_1		Е		3			
П4070_1	П4070_1		Е		3			
П4080_1	П4080_1		Е		3			
П4090_1	П4090_1		Е		3			
П4100_1	П4100_1		Е		3			
П4110_1	П4110_1		Е		3			
П4111_1	П4111_1		Е		3			
П4120_1	П4120_1		Е		3			
П4130_1	П4130_1		Е		3			
П4140_1	П4140_1		Е		3			
П4144_1	П4144_1		Е		3			
П4145_1	П4145_1		Е		3			
П4150_1	П4150_1		Е					
//Раздел II								
П7010_1	П7010_1		Ч		3			
П7010_2	П7010_2		Е		3			
П7010_3	П7010_3		Ч		3			
П7020_1	П7020_1		Ч					
П7020_2	П7020_2		Е					
П7030_1	П7030_1		Ч		3			
П7030_2	П7030_2		Е		3			
П7040_1	П7040_1		Ч		3			
П7040_2	П7040_2		Е		3			
П7050_1	П7050_1		Ч					
П7050_2	П7050_2		Е					
П7050_3	П7050_3		Ч					
//Раздел III								
П8010_1	П8010_1		Ч					
П8020_1	П8020_1		Ч		3			
П8030_1	П8030_1		Ч		3			
П8040_1	П8040_1		Ч		3			
П8050_1	П8050_1		Ч		3			
П8060_1	П8060_1		Ч		3			
П8070_1	П8070_1		Ч		3			
П8080_1	П8080_1		Ч		3			
П8090_1	П8090_1		Ч		3			
П8100_1	П8100_1		Ч		3			
П8110_1	П8110_1		Ч		3			
П8120_1	П8120_1		Ч		3			
П8160_1	П8160_1		Ч		3			
П8170_1	П8170_1		Ч		3			
П8180_1	П8180_1		Ч		3			
П8190_1	П8190_1		Ч					
Пр2	Пр2		Ч					
Пр3	Пр3		Ч					
Пр4	Пр4		Ч					
Пр5	Пр5		Ч					
Пр6	Пр6		Ч					
Пр7	Пр7		Ч					
Пр8	Пр8		Ч					
Пр9	Пр9		Ч					
Пр10	Пр10		Ч					
Пр11	Пр11		Ч					
Пр100	Пр100		Ч					
Пр200	Пр200		Ч					
Пр300	Пр300		Ч					
Пр400	Пр400		Ч					
Пр500	Пр500		Ч					
Пр600	Пр600		Ч					
Пр700	Пр700		Ч					
Пр800	Пр800		Ч					
Пр900	Пр900		Ч					
Пр1000	Пр1000		Ч					
П5010_1	П5010_1		Ч		3			
П5010_2	П5010_2		Ч		3			
П5015_1	П5015_1		Ч					
П5020_1	П5020_1		Ч		3			
П5020_2	П5020_2		Ч		3			
П5030_1	П5030_1		Ч					
П5030_2	П5030_2		Ч					
П5040_1	П5040_1		Ч					
П5040_2	П5040_2		Ч					
П5050_1	П5050_1		Ч		3			
П5050_2	П5050_2		Ч		3			
П5061_1	П5061_1		Ч		3			
===								
