"Код показателя
по составу"	"Код показателя
в форме отчета"	"Признак 
многострочности"	Тип данных	"Кол-во строк
многострочной группы"	"Вариант
заполнения"				
//Раздел I									
П3010_1	П3010_1		Ч		3			ПРИНЯТЫЕ ОБОЗНАЧЕНИЯ:	
П3020_1	П3020_1		Ч		3			Вариант заполнения (графа 6),  может принимать значения:	
П3020_2	П3020_2		Ч		3				1 - не заполнять автоматически;
П3030_1	П3030_1		Ч		1				2 - изменять автоматически заполненное значение;
П3040_1	П3040_1		Ч		3				3 -заполнять автоматически без корректировки.
П3040_2	П3040_2		Ч		3				
П3050_1	П3050_1		Ч		1				
П3050_2	П3050_2		Ч		1				
П3060_1	П3060_1		Ч		1				
П3060_2	П3060_2		Ч		1				
П3070_1	П3070_1		Ч		3				
П3070_2	П3070_2		Ч		3				
П3080_1	П3080_1		Ч		1				
П3080_2	П3080_2		Ч		1				
П3090_1	П3090_1		Ч		1				
П3090_2	П3090_2		Ч		1				
//Раздел II									
П4010_1	П4010_1		Ч						
П4020_1	П4020_1		Ч		3				
П4030_1	П4030_1		Ч		3				
П4040_1	П4040_1		Ч						
П4050_1	П4050_1		Ч		3				
П4050_2	П4050_2		Ч		3				
П4060_1	П4060_1		Ч		3				
П4060_2	П4060_2		Ч		3				
П4070_1	П4070_1		Ч		3				
П4070_2	П4070_2		Ч		3				
П4080_1	П4080_1		Ч		3				
П4080_2	П4080_2		Ч		3				
П4090_1	П4090_1		Ч		3				
П4090_2	П4090_2		Ч		3				
П4100_1	П4100_1		Ч		3				
П4100_2	П4100_2		Ч		3				
П4110_1	П4110_1		Ч		3				
П4120_1	П4120_1		Ч		1				
П4120_2	П4120_2		Ч		1				
П4130_1	П4130_1		Ч		1				
П4130_2	П4130_2		Ч		1				
//Раздел III									
П5010_1	П5010_1		Е						
П5020_1	П5020_1		Е		3				
П5030_1	П5030_1		Е		3				
П5040_1	П5040_1		Е		3				
П5050_1	П5050_1		Е		3				
П5060_1	П5060_1		Е		3				
П5070_1	П5070_1		Е		3				
П5080_1	П5080_1		Е		3				
П5090_1	П5090_1		Е		3				
П5100_1	П5100_1		Е		3				
П5110_1	П5110_1		Е		3				
П5120_1	П5120_1		Е		1				
П5130_1	П5130_1		Е		1				
//Раздел IV									
П6010_1	П6010_1		Ч						
П6020_1	П6020_1		Ч		3				
П6030_1	П6030_1		Ч		3				
П6040_1	П6040_1		Ч		3				
П6050_1	П6050_1		Ч		3				
П6060_1	П6060_1		Ч		3				
П6070_1	П6070_1		Ч		3				
П6080_1	П6080_1		Ч		3				
П6090_1	П6090_1		Ч		3				
П6100_1	П6100_1		Ч		3				
П6110_1	П6110_1		Ч		3				
П6120_1	П6120_1		Ч		3				
П6130_1	П6130_1		Ч		3				
П6140_1	П6140_1		Ч		3				
П6150_1	П6150_1		Ч		3				
П6160_1	П6160_1		Ч						
П6170_1	П6170_1		Ч						
Пр2	Пр2		Ч						
Пр3	Пр3		Ч						
Пр4	Пр4		Ч						
Пр5	Пр5		Ч						
Пр6	Пр6		Ч						
Пр7	Пр7		Ч						
Пр8	Пр8		Ч						
Пр9	Пр9		Ч						
Пр10	Пр10		Ч						
Пр11	Пр11		Ч						
Пр100	Пр100		Ч						
Пр200	Пр200		Ч						
Пр300	Пр300		Ч						
Пр400	Пр400		Ч						
Пр500	Пр500		Ч						
Пр600	Пр600		Ч						
Пр700	Пр700		Ч						
Пр800	Пр800		Ч						
Пр900	Пр900		Ч						
Пр1000	Пр1000		Ч						
// раздел V									
П7010_1	П7010_1		Ч		3				
П7010_2	П7010_2		Е		3				
П7010_3	П7010_3		Ч		3				
П7020_1	П7020_1		Ч						
П7020_2	П7020_2		Е						
П7030_1	П7030_1		Ч		3				
П7030_2	П7030_2		Е		3				
П7040_1	П7040_1		Ч		3				
П7040_2	П7040_2		Е		3				
П7050_1	П7050_1		Ч						
П7050_2	П7050_2		Е						
П7050_3	П7050_3		Ч						
//разделVI									
П8010_1	П8010_1		Ч						
П8020_1	П8020_1		Ч						
П8030_1	П8030_1		Ч						
П8040_1	П8040_1		Ч						
П8050_1	П8050_1		Ч						
П8060_1	П8060_1		Ч						
//разделVII									
П9010_1	П9010_1		Е						
П9020_1	П9020_1		Е						
П9030_1	П9030_1		Е						
П9040_1	П9040_1		Е						
П9050_1	П9050_1		Е						
П9060_1	П9060_1		Е						
П9070_1	П9070_1		Ч		3				
П9080_1	П9080_1		Е						
П9090_1	П9090_1		Е						
===									
